epoch,lr,train_dice_coef,train_dice_necrotic,train_dice_edema,train_dice_enhancing,train_precision,train_sensitivity,train_specificity,train_accuracy,val_dice_coef,val_dice_necrotic,val_dice_edema,val_dice_enhancing,val_precision,val_sensitivity,val_specificity,val_accuracy
1,0.001,0.46149539870552214,0.2963737869153708,0.5424645582278218,0.4615147890524694,0.9904101370838921,0.9843479211576678,0.996959948016695,0.9892091977748836,0.4708436515698066,0.20331143583453992,0.42644135945159806,0.31917912894219624,0.9929294389027815,0.990284039240617,0.9976125819866474,0.9920626009427584
2,0.001,0.6635463559894501,0.6288216935816531,0.7877606826076617,0.7631709938399784,0.9944683933933649,0.9926390438127779,0.9981225408627302,0.9940445811046761,0.48957202572088976,0.2143671612597805,0.4632543842312253,0.34757702775433874,0.9926496087587797,0.9908938534443195,0.9975359707612258,0.9923245826134315
3,0.001,0.6516221084340835,0.5994259651108208,0.7669995062808094,0.7441923470743911,0.9941716012723703,0.992094169614302,0.9980203374484775,0.9936036383648024,0.5027178726287989,0.23304935319810355,0.46825483817116875,0.3434045808429185,0.9928112986454597,0.9913632256251115,0.9975843475415156,0.9925832777756911
4,0.001,0.6072528549424038,0.5311116972826845,0.6667190111300765,0.6521554565107868,0.9924298147832672,0.9909751541108928,0.9974525131189845,0.9921146511377756,0.3534502865488713,0.06713795794903629,0.23351657451502084,0.16769724456713167,0.9870966301514552,0.9846144787164834,0.9956704048927014,0.9857891258826622
5,0.001,0.5332408856593712,0.44457451039511936,0.6234694214796216,0.6227273891133887,0.9917224600393549,0.9887569443726234,0.9972006920759159,0.9904967173797775,0.44893940577140223,0.18340174576751173,0.4111618928185635,0.314347984727378,0.9918377725894635,0.9899175885090461,0.9972570629303272,0.9912688974233774
6,0.0002,0.619844463451253,0.581303338073938,0.7286305529566846,0.7224493882184362,0.9932931570618855,0.9912034494894296,0.9977303931601958,0.9926619067706399,0.48783929838584017,0.20106608055912567,0.3908405327350024,0.30604871539434847,0.9919567053134625,0.9900731559900137,0.9972916349997887,0.9913748403695913
7,0.0002,0.6800522426555318,0.6696530428775221,0.7875519190764075,0.7902148649057362,0.9943454233994213,0.9927431018086631,0.9980831490846613,0.9940372725073554,0.49235045676047984,0.23563071499868574,0.431941291776188,0.34771129930109823,0.9929994628062615,0.9911820480456719,0.9976390164632064,0.9925497553898738
8,0.0002,0.6937292806763318,0.6845934633936096,0.801247306841458,0.8062904149461576,0.9945344500230043,0.9930653345432316,0.9981483878938981,0.9943126803996141,0.5035842994084725,0.24435525531437283,0.45765224094728185,0.35295363704853044,0.9933182827325968,0.9916816649070153,0.9977494012392484,0.9930005469689003
9,0.0002,0.7005413679416262,0.69430277499673,0.8047142408056511,0.8098404624104789,0.9946819912417497,0.9933198894181678,0.9981990897350381,0.9945272344557851,0.5035337326618341,0.2417042904750605,0.4539598836920161,0.3510801781605159,0.9932526306922619,0.9918108759476588,0.9977294449622814,0.9930208294208234
10,0.0002,0.708693969007275,0.7021325617762941,0.814136388452836,0.8132678835509484,0.9948321346881402,0.9935527438982313,0.9982501548158186,0.9947270806572337,0.5456093391546837,0.2417153258075884,0.4565594889256877,0.34354721899854035,0.9931336223162137,0.9919088863409482,0.9976919566667997,0.9930026597243089
1,0.001,0.3059605620801449,0.0,1.1138033005425872e-05,0.0,0.8998907327651977,0.722882080078125,0.9999804198741913,0.8946990966796875,0.2682758793234825,0.0,1.0215465804927916e-42,0.0,0.9959390014410019,0.9958895444869995,0.9986464232206345,0.995941162109375
2,0.001,0.2718053817749023,0.0,3.355481115190371e-10,0.0,0.9999618530273438,0.9999053955078125,0.9999872863292694,0.9999618530273438,0.29118119180202484,1.0509738482436128e-45,3.4158575674034093e-13,1.5448579719331522e-36,0.9959392547607422,0.9959505796432495,0.9986464232206345,0.995941162109375
1,0.001,0.2206244222819805,0.0,0.00013629963659696104,0.0,0.8998466551303863,0.71563720703125,0.9999534606933593,0.8948326110839844,0.2502687945961952,0.0,0.0,0.0,1.0,0.9987869262695312,1.0,1.0
2,0.001,0.4289496049284935,0.0,1.195104944159183e-07,0.0,0.9998824715614318,0.9997352600097656,0.9999608397483826,0.9998825073242188,0.3432028591632843,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,0.001,0.3153938174247742,0.0,0.00011336884948036641,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.403602734208107,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4,0.001,0.42355237901210785,0.0,0.00021110823363414965,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.44278640300035477,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5,0.001,0.5264905869960785,0.0,0.0003277025403804146,0.0,0.9998825073242188,0.9998825073242188,0.9999608337879181,0.9998825073242188,0.589541956782341,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6,0.001,0.6595030605793,0.0,0.003842359183909139,0.0,0.9998825073242188,0.9998825073242188,0.999960845708847,0.9998825073242188,0.7200087159872055,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7,0.001,0.710446161031723,0.0,0.014556581422220915,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.7565356343984604,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8,0.001,0.7455637931823731,0.0,0.015565935731865465,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.8379176557064056,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9,0.001,0.7437846601009369,0.0,0.028610298223793507,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.8112623542547226,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10,0.001,0.7973362267017364,0.0,0.011804680593195371,0.0,0.9998825073242188,0.9998825073242188,0.9999608337879181,0.9998825073242188,0.6943516135215759,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,0.001,0.6025051005184651,0.0,9.244035754818469e-05,0.0,0.8999351859092712,0.7093467712402344,0.9999768614768982,0.89627685546875,0.8770953714847565,0.0,0.0,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
2,0.001,0.9609395146369935,0.0,0.0,0.0,0.9999908447265625,0.9999908447265625,0.9999969482421875,0.9999908447265625,0.8770953714847565,0.0,0.0,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
3,0.001,0.9635705053806305,0.0,0.0,0.0,0.9999908447265625,0.9999908447265625,0.9999969482421875,0.9999908447265625,0.5522794276475906,0.0,0.0,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
4,0.001,0.27930417507886884,0.0,4.334254291624845e-10,0.0,0.9999908208847046,0.9989387512207031,0.9999969482421875,0.9999908447265625,0.25996026396751404,0.0,7.815987684789611e-21,0.0,0.9996629804372787,0.9994475096464157,0.999887689948082,0.9996630400419235
5,0.001,0.5087362319231034,0.0,2.991274760378649e-39,0.0,0.9999908447265625,0.9999397277832032,0.9999969482421875,0.9999908447265625,0.8600109219551086,0.0,0.0,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
1,0.001,0.3084325283765793,0.0,0.00043192380107939245,0.0,0.8998376488685608,0.7112495422363281,0.9999654114246368,0.8949165344238281,0.19871478155255318,0.00310024234931916,0.0020413472084328532,2.7227832106291316e-05,0.9951931685209274,0.7968383729457855,0.9987125396728516,0.9961395263671875
6,0.001,0.9282023012638092,0.0,0.0,0.0,0.9999908447265625,0.9999908447265625,0.9999969482421875,0.9999908447265625,0.8616943508386612,0.0,0.0,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
7,0.001,0.4305290013551712,0.0,4.478754078718339e-09,0.0,0.9999908447265625,0.9999702453613282,0.9999969482421875,0.9999908447265625,0.27023711055517197,0.0,2.1639350780006117e-09,0.0,0.9996630400419235,0.999638244509697,0.999887689948082,0.9996630400419235
2,0.001,0.3805585503578186,0.0,0.0003392425325729088,0.0,0.9998688519001007,0.9461204528808593,0.9999608397483826,0.9998825073242188,0.686767004430294,0.0,0.0,0.0,0.9961376190185547,0.9961489737033844,0.9987125396728516,0.9961395263671875
3,0.001,0.7633630096912384,0.0,1.404014483341598e-06,0.0,0.9996383666992188,0.9996376037597656,0.9998794555664062,0.9996383666992188,0.3620411157608032,0.0,5.649210343960931e-08,0.0,0.9960763454437256,0.9960269033908844,0.9986922144889832,0.9960784912109375
8,0.001,0.3082734107971191,0.0,1.8691784231528175e-13,0.0,0.9999908447265625,0.9999755859375,0.9999969482421875,0.9999908447265625,0.5263102576136589,0.0,2.4609073013808023e-28,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
4,0.001,0.29924840331077573,0.0,1.907025485035185e-05,0.0,0.9998710572719574,0.9997589111328125,0.9999570250511169,0.9998710632324219,0.2598886936903,6.00661363557838e-19,1.0446022542964783e-05,2.1136341358103617e-16,0.9961369931697845,0.9959754049777985,0.9987125396728516,0.9961395263671875
9,0.001,0.43227045238018036,0.0,3.064138939625504e-17,0.0,0.9999908447265625,0.9999908447265625,0.9999969482421875,0.9999908447265625,0.5267860889434814,0.0,7.433199567952641e-16,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
5,0.001,0.2768408924341202,0.0,3.619843432112191e-06,0.0,0.9998825013637542,0.9998336791992187,0.9999608397483826,0.9998825073242188,0.2812538966536522,2.299960067446883e-22,1.2479234312579024e-09,4.6596957986187364e-20,0.9961376190185547,0.9961489737033844,0.9987125396728516,0.9961395263671875
10,0.0002,0.4752142012119293,0.0,1.200205250126169e-11,0.0,0.9999908447265625,0.9999908447265625,0.9999969482421875,0.9999908447265625,0.6228747367858887,0.0,7.368694413330163e-13,0.0,0.9996630400419235,0.9996630400419235,0.999887689948082,0.9996630400419235
6,0.001,0.2961489647626877,0.0,5.165989747979438e-07,0.0,0.9998825073242188,0.9998825073242188,0.9999608397483826,0.9998825073242188,0.2908643111586571,1.7009200785003376e-17,4.140608034219895e-08,1.1309030693345743e-16,0.9961376190185547,0.9961489737033844,0.9987125396728516,0.9961395263671875
7,0.001,0.3240430146455765,0.0,3.657751418728594e-06,0.0,0.9998825073242188,0.9998825073242188,0.999960845708847,0.9998825073242188,0.3014414608478546,4.824387790029316e-14,1.486263329297799e-06,6.742433082121066e-14,0.9961376190185547,0.9961489737033844,0.9987125396728516,0.9961395263671875
8,0.001,0.33206540942192075,0.0,0.00016692105964466464,0.0,0.9998825073242188,0.9998825073242188,0.999960845708847,0.9998825073242188,0.3340338468551636,2.995760757518173e-11,2.1567935618804768e-05,1.1382644826696264e-11,0.9961376190185547,0.9961489737033844,0.9987125396728516,0.9961395263671875
